
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-08-17 22:40:30 .............................................................. ~ 0s
  2025-08-17 22:40:30 .............................................................. ~ 0s
  2025-08-17 22:40:30 .............................................................. ~ 0s
  2025-08-17 22:42:15 .............................................................. ~ 0s
  2025-08-17 22:42:15 .............................................................. ~ 0s
  2025-08-17 22:42:15 .............................................................. ~ 0s
  2025-08-17 22:42:15 .............................................................. ~ 0s
  2025-08-17 22:42:15 .............................................................. ~ 0s
  2025-08-17 22:42:15 .............................................................. ~ 0s
  2025-08-17 22:42:15 .............................................................. ~ 0s
  2025-08-17 22:42:15 .............................................................. ~ 0s
  2025-08-17 22:42:19 .............................................................. ~ 0s
  2025-08-17 22:42:19 .............................................................. ~ 0s
  2025-08-17 22:42:19 .............................................................. ~ 0s
  2025-08-17 22:42:19 .............................................................. ~ 0s
  2025-08-17 22:42:19 .............................................................. ~ 0s
  2025-08-17 22:42:19 .............................................................. ~ 1s
  2025-08-17 22:42:20 .............................................................. ~ 0s
  2025-08-17 22:42:20 .............................................................. ~ 0s
  2025-08-17 22:42:57 .............................................................. ~ 0s
  2025-08-17 22:42:57 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 0s
  2025-08-17 22:43:01 .............................................................. ~ 1s
  2025-08-17 22:43:02 .............................................................. ~ 0s
  2025-08-17 22:43:02 .............................................................. ~ 0s
  2025-08-17 22:43:17 .............................................................. ~ 0s
  2025-08-17 22:43:17 .............................................................. ~ 0s
  2025-08-17 22:43:17 .............................................................. ~ 0s
  2025-08-17 22:43:17 .............................................................. ~ 0s
  2025-08-17 22:43:52 .............................................................. ~ 0s
  2025-08-17 22:43:52 .............................................................. ~ 0s
  2025-08-17 22:43:52 .............................................................. ~ 0s
  2025-08-17 22:43:52 .............................................................. ~ 0s
  2025-08-17 22:53:01 .............................................................. ~ 0s
  2025-08-17 22:53:01 .............................................................. ~ 0s
  2025-08-17 22:58:25 .............................................................. ~ 0s
  2025-08-17 22:58:25 .............................................................. ~ 0s
  2025-08-17 22:59:02 .............................................................. ~ 0s
  2025-08-17 22:59:02 .............................................................. ~ 0s
  2025-08-17 22:59:08 .............................................................. ~ 0s
  2025-08-17 22:59:08 .............................................................. ~ 1s
  2025-08-17 22:59:33 .............................................................. ~ 0s
  2025-08-17 22:59:33 .............................................................. ~ 1s
  2025-08-17 22:59:46 .............................................................. ~ 0s
  2025-08-17 22:59:46 .............................................................. ~ 0s
  2025-08-17 22:59:53 .............................................................. ~ 0s
  2025-08-17 22:59:53 .............................................................. ~ 0s
  2025-08-17 22:59:53 .............................................................. ~ 0s
  2025-08-17 22:59:53 .............................................................. ~ 0s
  2025-08-17 22:59:55 .............................................................. ~ 0s
  2025-08-17 22:59:55 .............................................................. ~ 0s
  2025-08-17 22:59:56 .............................................................. ~ 0s
  2025-08-17 22:59:56 .............................................................. ~ 0s
  2025-08-17 22:59:56 .............................................................. ~ 0s
  2025-08-17 22:59:56 .............................................................. ~ 0s
  2025-08-17 22:59:56 .............................................................. ~ 0s
  2025-08-17 22:59:56 .............................................................. ~ 0s
  2025-08-17 22:59:57 .............................................................. ~ 0s
  2025-08-17 22:59:57 .............................................................. ~ 0s
  2025-08-17 23:00:14 .............................................................. ~ 0s
  2025-08-17 23:00:14 .............................................................. ~ 0s
  2025-08-17 23:00:14 .............................................................. ~ 0s
  2025-08-17 23:00:14 .............................................................. ~ 0s
